Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\nation_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\sultan_kudarat_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,4.798643073,+,2,[828.0],[19.0],0.291062802,0.701690821,0.007246377,0.315789474,0.631578947,0.052631579
A desktop computer,b8c,,,2,[572.0],[13.0],0.718531469,0.269230769,0.012237762,0.846153846,0.153846154,0
A laptop or notebook computer,b8d,,,2,[323.0],[8.0],0.554179567,0.430340557,0.015479876,0.5,0.5,0
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,,,2,[381.0],[7.0],0.482939633,0.501312336,0.015748031,0.428571429,0.571428571,0
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,,,2,[223.0],[6.0],0.614349776,0.349775785,0.035874439,0.5,0.5,0
I use a postpaid plan (i.e.; with contracts),b9a,4.99073273,+,2,[1792.0],[73.0],0.82421875,0.1484375,0.02734375,0.917808219,0.054794521,0.02739726
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,0.961245296,+,2,[1810.0],[73.0],0.53038674,0.459116022,0.010497238,0.561643836,0.438356164,0
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,1.225905389,+,2,[1804.0],[73.0],0.45232816,0.5327051,0.014966741,0.479452055,0.520547945,0
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,2.566304952,+,2,[1792.0],[73.0],0.573102679,0.416294643,0.010602679,0.657534247,0.342465753,0
Do you connect to the internet by yourself?,b10a,22.24228926,+,1,[1826.0],[73.0],0.394852136,0.605147864,0,0.671232877,0.328767123,0
My parents,b10b1,0.19678658,+,1,[680.0],[49.0],0.747058824,0.252941176,0,0.775510204,0.224489796,0
My siblings,b10b2,0.069719093,+,1,[681.0],[49.0],0.654919236,0.345080764,0,0.673469388,0.326530612,0
Relatives,b10b3,1.65E-05,-,1,[680.0],[49.0],0.857352941,0.142647059,0,0.857142857,0.142857143,0
Friends who are the same age as I am,b10c1,0.072752306,+,1,[680.0],[49.0],0.613235294,0.386764706,0,0.632653061,0.367346939,0
Friends who are older than me,b10c2,6.698406239,+,1,[680.0],[49.0],0.844117647,0.155882353,0,0.979591837,0.020408163,0
My teacher,b10d,,,1,[680.0],[49.0],0.955882353,0.044117647,0,0.959183673,0.040816327,0
Others,b10e,,,1,[680.0],[49.0],0.905882353,0.094117647,0,0.918367347,0.081632653,0
Do you usually have a good time or fun when you go online?,c1,,,3,[1829.0],[73.0],0.897211591,0.096227447,0.006560962,0.753424658,0.246575342,0
What do you think about this sentence: ‘There are lots of things on the internet that are good for children of my age’?,c2,8.128188337,+,2,[1799.0],[73.0],0.157309616,0.823235131,0.019455253,0.273972603,0.726027397,0
I learned something new by searching online,c4a,2.774378237,+,2,[1785.0],[73.0],0.565826331,0.426330532,0.007843137,0.657534247,0.342465753,0
I used the internet for schoolwork,c4c,3.768335578,+,2,[1796.0],[73.0],0.517817372,0.477171492,0.005011136,0.630136986,0.369863014,0
I looked for information about work or study opportunities,c4b,1.340616435,+,2,[1750.0],[71.0],0.774857143,0.212,0.013142857,0.830985915,0.154929577,0.014084507
Checked maps,c4c1,2.290435265,+,2,[1766.0],[73.0],0.844847112,0.142695357,0.012457531,0.904109589,0.095890411,0
I looked for information about the place I want to go visit/eat,c4c2,0.657379827,-,2,[1767.0],[71.0],0.813808715,0.177136389,0.009054895,0.816901408,0.183098592,0
I looked for resources or events about my local neighbourhood,c4d,1.311393048,-,2,[1732.0],[70.0],0.883371824,0.099884527,0.016743649,0.885714286,0.114285714,0
I got involved online in a local organisation or charity,c4f,0.959429083,+,2,[1725.0],[71.0],0.911884058,0.072463768,0.015652174,0.943661972,0.042253521,0.014084507
I used the internet to help somebody else,c4g,1.551861028,-,2,[1754.0],[71.0],0.819840365,0.169327252,0.010832383,0.788732394,0.211267606,0
I used the internet to talk to people from places or backgrounds different from mine,c4e,1.184501914,+,2,[1756.0],[71.0],0.811503417,0.176537585,0.011958998,0.85915493,0.126760563,0.014084507
I looked for the news online,c4h,2.687334771,+,2,[1780.0],[71.0],0.749438202,0.243258427,0.007303371,0.830985915,0.169014085,0
I discussed political or social problems with other people online,c4i,1.875739449,+,2,[1734.0],[69.0],0.896193772,0.089965398,0.01384083,0.942028986,0.057971014,0
I got involved online in a campaign or protest,c4j,,,2,[1722.0],[68.0],0.93960511,0.045296167,0.015098722,0.955882353,0.014705882,0.029411765
I signed a petition online,c4k,,,2,[1699.0],[67.0],0.951736315,0.03472631,0.013537375,0.955223881,0.014925373,0.029850746
I used the internet to join a civic; religious or political group,c4l,,,2,[1725.0],[68.0],0.933913043,0.053333333,0.012753623,0.955882353,0.029411765,0.014705882
I posted videos or music created by someone else,c4o,1.355409536,+,2,[1767.0],[70.0],0.873231466,0.117713639,0.009054895,0.914285714,0.085714286,0
I created my own video or music and uploaded it to share,c4m,2.15955203,+,2,[1758.0],[70.0],0.889078498,0.103526735,0.007394767,0.942857143,0.057142857,0
I created a blog or story or website online,c4n,,,2,[1737.0],[69.0],0.937823834,0.050086356,0.01208981,0.971014493,0.028985507,0
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,3.110592925,+,2,[1728.0],[70.0],0.912037037,0.078703704,0.009259259,0.971428571,0.028571429,0
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,1.12443419,+,2,[1725.0],[69.0],0.819710145,0.168695652,0.011594203,0.855072464,0.144927536,0
I visited a social network site (e.g.; Facebook [add local examples]),c4p,7.16813646,+,2,[1767.0],[69.0],0.462931522,0.528013582,0.009054895,0.623188406,0.376811594,0
I helped someone else who needed or wanted to go online,c4t,0.657359131,+,2,[1754.0],[70.0],0.810718358,0.180729761,0.008551881,0.828571429,0.171428571,0
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,2.286058058,+,2,[1743.0],[68.0],0.763625932,0.228915663,0.007458405,0.838235294,0.161764706,0
I commented on the updates that friends or family have put online,c4u,1.603866373,+,2,[1752.0],[69.0],0.674657534,0.317922374,0.007420091,0.739130435,0.260869565,0
I re-posted or shared a social media post online,c4t1,6.041276904,+,2,[1742.0],[69.0],0.740528129,0.247990815,0.011481056,0.869565217,0.130434783,0
I showed my friends or family something that I saw online,c4v,3.037691851,+,2,[1748.0],[68.0],0.75,0.2402746,0.0097254,0.838235294,0.161764706,0
I visited a chatroom to meet new people [insert local examples],c4w,2.622764785,+,2,[1740.0],[68.0],0.860344828,0.129885057,0.009770115,0.926470588,0.073529412,0
I watched video clips (e.g. on YouTube [insert local examples]),c4x,3.475937216,+,2,[1779.0],[69.0],0.541315346,0.454187746,0.004496908,0.652173913,0.347826087,0
I played online games alone,c4y,4.716673903,+,2,[1793.0],[70.0],0.646960402,0.349135527,0.003904071,0.771428571,0.228571429,0
I played games with other people online,c4z,2.540176241,+,2,[1776.0],[69.0],0.745495495,0.247184685,0.00731982,0.826086957,0.173913043,0
I listened to music online (by downloading or streaming),c4bb,1.415136866,+,2,[1774.0],[71.0],0.640924464,0.354565953,0.004509583,0.704225352,0.295774648,0
I watched my favourite TV shows,c4cc,6.104731713,+,2,[1783.0],[70.0],0.508132361,0.488502524,0.003365115,0.657142857,0.342857143,0
I joined a fan site (of a celebrity or popular band),c4cc1,4.094234851,+,2,[1734.0],[71.0],0.880046136,0.109573241,0.010380623,0.957746479,0.042253521,0
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,3.912445874,+,2,[1754.0],[69.0],0.656214367,0.337514253,0.00627138,0.768115942,0.231884058,0
I looked for health information for myself or someone I know,c4ee,2.406311734,+,2,[1740.0],[69.0],0.814367816,0.177011494,0.00862069,0.884057971,0.115942029,0
I participated in a site where people share my interests or hobbies,c4ff,2.181377147,+,2,[1719.0],[69.0],0.853984875,0.134962187,0.011052938,0.913043478,0.086956522,0
I browsed for things to buy,c4hh,0.586533393,+,2,[1731.0],[68.0],0.868284229,0.123627961,0.008087811,0.882352941,0.102941176,0.014705882
I checked out what things cost by looking online,c4hh1,1.449757024,+,2,[1713.0],[68.0],0.882661996,0.109748978,0.007589025,0.926470588,0.073529412,0
I have sold an item online,c4hh2,,,2,[1713.0],[69.0],0.942206655,0.046117922,0.011675423,0.956521739,0.043478261,0
My mother or father (or step/foster mother or father),c6a,0.733406212,+,2,[1747.0],[67.0],0.693760733,0.300515169,0.005724098,0.731343284,0.268656716,0
My brother or sister (or step/foster/half siblings),c6b,0.773231684,-,2,[1740.0],[68.0],0.759195402,0.231034483,0.009770115,0.75,0.25,0
A friend around my age,c6c,0.544374356,+,2,[1756.0],[68.0],0.660022779,0.335421412,0.004555809,0.691176471,0.308823529,0
A teacher,c6d,1.241285197,+,2,[1742.0],[68.0],0.87141217,0.120551091,0.008036739,0.911764706,0.088235294,0
Another adult I trust,c6e,0.726729448,+,2,[1734.0],[68.0],0.808535179,0.184544406,0.006920415,0.838235294,0.161764706,0
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,2.352749331,+,2,[1713.0],[66.0],0.842381786,0.149445417,0.008172796,0.909090909,0.090909091,0
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,2.115547233,+,2,[1703.0],[67.0],0.886083382,0.103934234,0.009982384,0.940298507,0.059701493,0
A relative or friend who is an OFW (overseas Filipino worker),c6g1,2.235650869,+,2,[1711.0],[67.0],0.812974868,0.177673875,0.009351257,0.880597015,0.119402985,0
Someone else,c6h,1.44544058,+,2,[1712.0],[67.0],0.881425234,0.110397196,0.00817757,0.925373134,0.074626866,0
My mother or father (or step/foster mother or father),c7a,0.474659727,-,2,[1713.0],[67.0],0.713952131,0.279042615,0.007005254,0.71641791,0.28358209,0
My brother or sister (or step/foster/half siblings),c7b,1.874837105,+,2,[1707.0],[67.0],0.754540129,0.236672525,0.008787346,0.820895522,0.179104478,0
A friend around my age,c7c,0.908520734,-,2,[1716.0],[67.0],0.648601399,0.344988345,0.006410256,0.611940299,0.388059701,0
A teacher,c7d,0.561331137,-,2,[1702.0],[67.0],0.867802585,0.124559342,0.007638073,0.865671642,0.134328358,0
Another adult I trust,c7e,0.658851978,+,2,[1699.0],[67.0],0.821071218,0.169511477,0.009417304,0.835820896,0.164179104,0
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,1.255697751,+,2,[1686.0],[67.0],0.854685647,0.135231317,0.010083037,0.895522388,0.104477612,0
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,0.646060475,-,2,[1680.0],[67.0],0.888690476,0.101785714,0.00952381,0.895522388,0.104477612,0
A relative or friend who is an OFW (overseas Filipino worker),c7g1,1.888238854,+,2,[1677.0],[67.0],0.839594514,0.148479428,0.011926058,0.895522388,0.104477612,0
Someone else,c7h,1.501949958,+,2,[1680.0],[67.0],0.881547619,0.108333333,0.010119048,0.925373134,0.074626866,0
My mother or father (or step/foster mother or father),c8a,2.945388841,+,2,[1389.0],[48.0],0.750179986,0.236141109,0.013678906,0.854166667,0.145833333,0
My brother or sister (or step/foster/half siblings),c8b,4.724149422,+,2,[1379.0],[48.0],0.736765772,0.25453227,0.008701958,0.875,0.125,0
A friend around my age,c8c,4.131142361,+,2,[1392.0],[48.0],0.541666667,0.451867816,0.006465517,0.6875,0.3125,0
A teacher,c8d,2.821837986,+,2,[1380.0],[48.0],0.852173913,0.137681159,0.010144928,0.9375,0.0625,0
Another adult I trust,c8e,2.713473962,+,2,[1374.0],[47.0],0.798398836,0.19286754,0.008733624,0.893617021,0.106382979,0
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,2.30036978,+,2,[1372.0],[46.0],0.830174927,0.16180758,0.008017493,0.913043478,0.086956522,0
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,1.712428372,+,2,[1365.0],[47.0],0.848351648,0.143589744,0.008058608,0.914893617,0.085106383,0
A relative or friend who is an OFW (overseas Filipino worker),c8g1,3.846878479,+,2,[1372.0],[47.0],0.801020408,0.18877551,0.010204082,0.914893617,0.085106383,0
Someone else,c8h,1.906100705,+,2,[1379.0],[47.0],0.870195794,0.119651922,0.010152284,0.936170213,0.063829787,0
My mother or father (or step/foster mother or father),c9a,1.437394257,+,2,[1071.0],[39.0],0.830999066,0.154061625,0.014939309,0.897435897,0.102564103,0
My brother or sister (or step/foster/half siblings),c9b,1.231009868,+,2,[1065.0],[39.0],0.782159624,0.202816901,0.015023474,0.846153846,0.153846154,0
A friend around my age,c9c,1.898789778,+,2,[1085.0],[39.0],0.642396313,0.347465438,0.010138249,0.743589744,0.256410256,0
A teacher,c9d,,,2,[1068.0],[39.0],0.878277154,0.105805243,0.015917603,0.846153846,0.153846154,0
Another adult I trust,c9e,0.691983528,+,2,[1071.0],[39.0],0.83286648,0.155929038,0.011204482,0.871794872,0.128205128,0
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,0.911211508,+,2,[1069.0],[38.0],0.819457437,0.166510758,0.014031805,0.868421053,0.131578947,0
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,0.500472696,+,2,[1060.0],[37.0],0.84245283,0.145283019,0.012264151,0.864864865,0.135135135,0
A relative or friend who is an OFW (overseas Filipino worker),c9g1,,,2,[1050.0],[38.0],0.885714286,0.100952381,0.013333333,0.947368421,0.052631579,0
Someone else,c9h,1.419696719,+,2,[1055.0],[38.0],0.825592417,0.162085308,0.012322275,0.894736842,0.105263158,0
Making presentations,c10a,1.759186957,+,2,[1713.0],[65.0],0.748394629,0.244600117,0.007005254,0.815384615,0.184615385,0
Writing things,c10b,0.751092946,+,2,[1722.0],[65.0],0.731126597,0.263066202,0.005807201,0.769230769,0.230769231,0
Making pictures,c10c,2.57264985,+,2,[1719.0],[65.0],0.660849331,0.335078534,0.004072135,0.753846154,0.246153846,0
Practising something I am learning (e.g. maths or a language or music),c10d,6.04481088,+,2,[1738.0],[66.0],0.64269275,0.350402762,0.006904488,0.787878788,0.212121212,0
Checking out information on the school website,c10e,1.719369135,+,2,[1715.0],[66.0],0.779008746,0.21516035,0.005830904,0.818181818,0.166666667,0.015151515
Doing group work with other students,c10f,0.866651148,+,2,[1732.0],[66.0],0.683025404,0.311200924,0.005773672,0.727272727,0.272727273,0
Chatting online at school,c10g,5.064388357,+,2,[1722.0],[65.0],0.775842044,0.217189315,0.006968641,0.892307692,0.107692308,0
Communicating with teachers (e.g. submitting homework or asking a question),c10h,1.169153197,+,2,[1723.0],[66.0],0.83459083,0.158444573,0.006964597,0.878787879,0.121212121,0
Contributing to a school blog or online discussion,c10i,1.274261562,+,2,[1678.0],[65.0],0.883790226,0.106078665,0.010131108,0.923076923,0.076923077,0
I know how to save a photo that I find online,e1a,3.802943212,+,2,[1774.0],[72.0],0.240135287,0.750281849,0.009582864,0.333333333,0.666666667,0
I know how to change my privacy settings (e.g. on a social networking site),e1b,6.910087625,+,2,[1415.0],[50.0],0.436042403,0.551943463,0.012014134,0.62,0.38,0
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,1.680062944,+,2,[1684.0],[71.0],0.731591449,0.249406176,0.019002375,0.774647887,0.225352113,0
I know how to jailbreak; crack games and apps; change IP address,e1f1,1.384955902,-,2,[1680.0],[71.0],0.757738095,0.223809524,0.018452381,0.76056338,0.23943662,0
I know how to hide my IP address,e1f2,1.362895949,-,2,[1699.0],[71.0],0.761624485,0.219540906,0.018834609,0.774647887,0.225352113,0
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,5.535554642,+,2,[1689.0],[72.0],0.574304322,0.413262285,0.012433393,0.708333333,0.291666667,0
I know how to hack certain files,e1f4,2.123180528,-,2,[1695.0],[71.0],0.817109145,0.165781711,0.017109145,0.788732394,0.211267606,0
I know how to set the firewall,e1f5,1.544641394,-,2,[1676.0],[71.0],0.829355609,0.150954654,0.019689737,0.830985915,0.169014085,0
I find it easy to find a website I have visited before,e1i,1.233620551,+,2,[1717.0],[71.0],0.466511357,0.517763541,0.015725102,0.492957746,0.507042254,0
I find it easy to check if the information I find online is true,e1g,1.132737162,+,2,[1729.0],[71.0],0.467900521,0.517640254,0.014459225,0.492957746,0.507042254,0
I find it easy to choose the best keywords for online searches,e1h,3.677578168,+,2,[1717.0],[72.0],0.514269074,0.479324403,0.006406523,0.625,0.375,0
Sometimes I end up on websites without knowing how I got there,e1k,2.756691482,+,2,[1724.0],[72.0],0.524361949,0.462296984,0.013341067,0.611111111,0.388888889,0
I know how to use incognito in browsing,e1k1,1.723020431,+,2,[1679.0],[72.0],0.776057177,0.201310304,0.022632519,0.805555556,0.194444444,0
I know which information I should and shouldn't share online,e1l,2.516891315,+,2,[1412.0],[51.0],0.226628895,0.763456091,0.009915014,0.31372549,0.68627451,0
I know how to remove people from my contact lists,e1m,0.718014149,+,2,[1424.0],[50.0],0.146769663,0.846910112,0.006320225,0.18,0.82,0
I know how to block,e1m1,0.34842257,+,2,[1422.0],[50.0],0.26230661,0.732067511,0.005625879,0.28,0.72,0
I know when I should and shouldn't share information online,e1n,0.851822871,-,2,[1411.0],[50.0],0.200566974,0.793054571,0.006378455,0.16,0.84,0
I know how to behave according to the situation online,e1o,0.86427931,+,2,[1414.0],[50.0],0.163366337,0.8281471,0.008486563,0.2,0.8,0
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,0.721421483,-,2,[1393.0],[50.0],0.408470926,0.581478823,0.010050251,0.38,0.62,0
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,0.175145484,+,2,[1381.0],[50.0],0.529326575,0.456915279,0.013758146,0.54,0.44,0.02
I know how to create something new from video or music that I found online,e1t,1.029445381,+,2,[1699.0],[71.0],0.646262507,0.339611536,0.014125956,0.661971831,0.338028169,0
I know how to post online video or music that I have created myself,e1q,,,2,[564.0],[14.0],0.273049645,0.710992908,0.015957447,0.5,0.5,0
I know which different types of licences apply to online content,e1s,1.907139667,+,2,[1641.0],[71.0],0.71297989,0.265691651,0.021328458,0.76056338,0.23943662,0
I know how to edit or make basic changes to online content that others have created,e1r,2.465630092,-,2,[1656.0],[71.0],0.651570048,0.334541063,0.013888889,0.591549296,0.408450704,0
I know how to design a website,e1u,1.434123323,+,2,[1652.0],[71.0],0.750605327,0.230024213,0.01937046,0.774647887,0.225352113,0
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,1.032083477,-,2,[1717.0],[71.0],0.237623762,0.757134537,0.005241701,0.197183099,0.802816901,0
I know how to safeguard my online expenses while using mobile apps,e1w,1.087760271,-,2,[1659.0],[71.0],0.456901748,0.528631706,0.014466546,0.450704225,0.549295775,0
I know how to make an in-app purchase,e1x,3.409052228,+,2,[1657.0],[71.0],0.665660833,0.318044659,0.016294508,0.76056338,0.23943662,0
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,2.119884389,-,2,[1635.0],[71.0],0.727217125,0.255657492,0.017125382,0.690140845,0.309859155,0
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,4.068958732,+,2,[1338.0],[50.0],0.620328849,0.337817638,0.041853513,0.74,0.26,0
Connect to a Wi-Fi network,e3b,0.97898524,-,2,[1398.0],[50.0],0.191702432,0.796137339,0.012160229,0.16,0.84,0
Block push notifications from different apps,e3c,1.228725983,+,2,[1336.0],[49.0],0.622005988,0.36002994,0.017964072,0.673469388,0.326530612,0
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,1.706042632,+,2,[1316.0],[49.0],0.66337386,0.306990881,0.029635258,0.714285714,0.285714286,0
Block pop ups which promote apps; games or services I have to pay for (unrequested windows that appear during web surfing),e3e,2.795490098,+,2,[1300.0],[49.0],0.745384615,0.224615385,0.03,0.836734694,0.163265306,0
Protect a smartphone with a PIN/with a screen pattern,e3f,3.72401815,-,2,[1376.0],[49.0],0.193313953,0.787790698,0.018895349,0.102040816,0.897959184,0
Update my status on the social networking site I use the most,e3g,0.056565535,-,2,[1356.0],[49.0],0.342182891,0.636430678,0.021386431,0.326530612,0.653061224,0.020408163
Find information on how to use smartphones safely,e3h,1.630397674,+,2,[1349.0],[49.0],0.445515196,0.533728688,0.020756116,0.510204082,0.489795918,0
Compare similar apps to choose the one that is most reliable,e3i,1.692156185,+,2,[1332.0],[49.0],0.475975976,0.496996997,0.027027027,0.530612245,0.469387755,0
Take a picture or a video with my smartphone and post it onto social media,e3j,0.999226202,+,2,[1345.0],[49.0],0.407434944,0.573234201,0.019330855,0.428571429,0.571428571,0
Twitter,d1d,0.458953961,+,1,[1702.0],[69.0],0.870740306,0.129259694,0,0.898550725,0.101449275,0
Viber,d1e,,,1,[1698.0],[69.0],0.96819788,0.03180212,0,0.956521739,0.043478261,0
Skype,d1f,,,1,[1698.0],[69.0],0.92991755,0.07008245,0,0.956521739,0.043478261,0
Facebook,d1a,4.193083855,+,1,[1705.0],[69.0],0.087390029,0.912609971,0,0.15942029,0.84057971,0
Instagram,d1c,0.342117706,+,1,[1698.0],[69.0],0.82803298,0.17196702,0,0.855072464,0.144927536,0
WhatsApp,d1b,,,1,[1696.0],[69.0],0.976415094,0.023584906,0,0.956521739,0.043478261,0
YouTube,d1g,6.250647827,-,1,[1703.0],[69.0],0.411626541,0.588373459,0,0.260869565,0.739130435,0
Spotify,d1h,,,1,[1696.0],[69.0],0.943396226,0.056603774,0,0.927536232,0.072463768,0
Wikipedia,d1i,0.319109533,+,1,[1698.0],[69.0],0.87573616,0.12426384,0,0.898550725,0.101449275,0
Tumblr,d1j,,,1,[1696.0],[69.0],0.99115566,0.00884434,0,0.985507246,0.014492754,0
I find it easier to be myself online than when I am with people face-to-face,d2d,10.91382185,+,2,[1415.0],[51.0],0.490459364,0.481272085,0.028268551,0.725490196,0.254901961,0.019607843
I talk about different things online than I do when speaking to people face-to-face,d2e,8.517359068,+,2,[1403.0],[51.0],0.485388453,0.48681397,0.027797577,0.68627451,0.31372549,0
I talk about private things online which I do not talk about with people face-to-face,d2f,2.072420229,+,2,[1394.0],[50.0],0.616929699,0.362984218,0.020086083,0.7,0.3,0
