Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\15to17_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\9to11_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.000922993,+,2,[618.0],[552.0],0.446601942,0.538834951,0.014563107,0.447463768,0.538043478,0.014492754
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,116.1213324,+,2,[619.0],[544.0],0.436187399,0.55088853,0.012924071,0.748161765,0.248161765,0.003676471
Do you connect to the internet by yourself?,b10a,46.7384157,+,1,[626.0],[558.0],0.300319489,0.699680511,0,0.494623656,0.505376344,0
My parents,b10b1,30.23663377,-,1,[179.0],[254.0],0.87150838,0.12849162,0,0.633858268,0.366141732,0
My siblings,b10b2,1.844878882,-,1,[179.0],[254.0],0.681564246,0.318435754,0,0.618110236,0.381889764,0
Relatives,b10b3,0.000147491,-,1,[179.0],[254.0],0.854748603,0.145251397,0,0.854330709,0.145669291,0
Friends who are the same age as I am,b10c1,63.92968323,+,1,[179.0],[254.0],0.396648045,0.603351955,0,0.775590551,0.224409449,0
Friends who are older than me,b10c2,0.016091077,+,1,[179.0],[254.0],0.837988827,0.162011173,0,0.842519685,0.157480315,0
My teacher,b10d,0.86646539,-,1,[179.0],[254.0],0.960893855,0.039106145,0,0.940944882,0.059055118,0
Others,b10e,0.003741335,-,1,[179.0],[254.0],0.899441341,0.100558659,0,0.897637795,0.102362205,0
Do you usually have a good time or fun when you go online?,c1,,,3,[630.0],[557.0],0.914285714,0.080952381,0.004761905,0.876122083,0.113105925,0.010771993
What do you think about this sentence: ‘There are lots of things on the internet that are good for children of my age’?,c2,42.58324157,+,2,[616.0],[549.0],0.089285714,0.88474026,0.025974026,0.225865209,0.759562842,0.014571949
I learned something new by searching online,c4a,16.78550243,+,2,[616.0],[548.0],0.532467532,0.459415584,0.008116883,0.642335766,0.343065693,0.01459854
I used the internet for schoolwork,c4c,,,2,[619.0],[551.0],0.444264943,0.555735057,0,0.629764065,0.359346642,0.010889292
I looked for information about work or study opportunities,c4b,36.67301521,+,2,[611.0],[529.0],0.698854337,0.284779051,0.016366612,0.848771267,0.137996219,0.013232514
Checked maps,c4c1,6.946937714,+,2,[612.0],[536.0],0.820261438,0.168300654,0.011437908,0.873134328,0.11380597,0.013059701
I looked for information about the place I want to go visit/eat,c4c2,40.20030762,+,2,[610.0],[537.0],0.744262295,0.245901639,0.009836066,0.888268156,0.102420857,0.009310987
I looked for resources or events about my local neighbourhood,c4d,14.45071205,+,2,[605.0],[523.0],0.841322314,0.137190083,0.021487603,0.915869981,0.07456979,0.009560229
I got involved online in a local organisation or charity,c4f,6.047883552,+,2,[600.0],[520.0],0.901666667,0.085,0.013333333,0.936538462,0.048076923,0.015384615
I used the internet to help somebody else,c4g,15.83342942,+,2,[610.0],[531.0],0.775409836,0.21147541,0.013114754,0.866290019,0.124293785,0.009416196
I used the internet to talk to people from places or backgrounds different from mine,c4e,27.10268691,+,2,[610.0],[534.0],0.750819672,0.23442623,0.014754098,0.867041199,0.116104869,0.016853933
I looked for the news online,c4h,75.63906089,+,2,[616.0],[543.0],0.62987013,0.36038961,0.00974026,0.854511971,0.138121547,0.007366483
I discussed political or social problems with other people online,c4i,30.89372816,+,2,[608.0],[517.0],0.847039474,0.139802632,0.013157895,0.945841393,0.042553191,0.011605416
I got involved online in a campaign or protest,c4j,2.524194222,+,2,[604.0],[516.0],0.933774834,0.048013245,0.018211921,0.949612403,0.042635659,0.007751938
I signed a petition online,c4k,1.299413359,-,2,[593.0],[511.0],0.954468803,0.030354132,0.015177066,0.943248532,0.043052838,0.01369863
I used the internet to join a civic; religious or political group,c4l,5.673365383,+,2,[603.0],[518.0],0.915422886,0.071310116,0.013266998,0.945945946,0.038610039,0.015444015
I posted videos or music created by someone else,c4o,8.941451843,+,2,[616.0],[533.0],0.842532468,0.149350649,0.008116883,0.896810507,0.091932458,0.011257036
I created my own video or music and uploaded it to share,c4m,,,2,[610.0],[528.0],0.857377049,0.136065574,0.006557377,0.920454545,0.071969697,0.007575758
I created a blog or story or website online,c4n,3.429975694,+,2,[607.0],[520.0],0.922570016,0.067545305,0.009884679,0.946153846,0.042307692,0.011538462
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,,,2,[603.0],[516.0],0.900497512,0.094527363,0.004975124,0.918604651,0.071705426,0.009689922
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,17.84725795,+,2,[603.0],[513.0],0.771144279,0.212271973,0.016583748,0.869395712,0.1208577,0.009746589
I visited a social network site (e.g.; Facebook [add local examples]),c4p,68.38706507,+,2,[615.0],[528.0],0.365853659,0.630894309,0.003252033,0.59280303,0.390151515,0.017045455
I helped someone else who needed or wanted to go online,c4t,,,2,[612.0],[527.0],0.769607843,0.223856209,0.006535948,0.869070209,0.121442125,0.009487666
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,,,2,[606.0],[520.0],0.721122112,0.272277228,0.00660066,0.817307692,0.173076923,0.009615385
I commented on the updates that friends or family have put online,c4u,75.84903677,+,2,[615.0],[523.0],0.567479675,0.42601626,0.006504065,0.803059273,0.185468451,0.011472275
I re-posted or shared a social media post online,c4t1,51.71983497,+,2,[609.0],[515.0],0.65681445,0.339901478,0.003284072,0.823300971,0.159223301,0.017475728
I showed my friends or family something that I saw online,c4v,19.89554132,+,2,[611.0],[520.0],0.693944354,0.294599018,0.011456628,0.807692308,0.180769231,0.011538462
I visited a chatroom to meet new people [insert local examples],c4w,19.28435002,+,2,[615.0],[515.0],0.822764228,0.169105691,0.008130081,0.906796117,0.081553398,0.011650485
I watched video clips (e.g. on YouTube [insert local examples]),c4x,,,2,[617.0],[537.0],0.525121556,0.473257699,0.001620746,0.575418994,0.415270019,0.009310987
I played online games alone,c4y,,,2,[616.0],[547.0],0.712662338,0.285714286,0.001623377,0.60511883,0.389396709,0.005484461
I played games with other people online,c4z,,,2,[611.0],[541.0],0.800327332,0.196399345,0.003273322,0.719038817,0.271719039,0.009242144
I listened to music online (by downloading or streaming),c4bb,,,2,[613.0],[535.0],0.577487765,0.422512235,0,0.710280374,0.280373832,0.009345794
I watched my favourite TV shows,c4cc,,,2,[614.0],[541.0],0.495114007,0.503257329,0.001628664,0.528650647,0.465804067,0.005545287
I joined a fan site (of a celebrity or popular band),c4cc1,12.39662761,+,2,[601.0],[523.0],0.861896839,0.129783694,0.008319468,0.921606119,0.066921606,0.011472275
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,,,2,[616.0],[517.0],0.568181818,0.430194805,0.001623377,0.771760155,0.220502901,0.007736944
I looked for health information for myself or someone I know,c4ee,,,2,[608.0],[517.0],0.753289474,0.238486842,0.008223684,0.868471954,0.123791103,0.007736944
I participated in a site where people share my interests or hobbies,c4ff,,,2,[600.0],[513.0],0.815,0.178333333,0.006666667,0.910331384,0.079922027,0.009746589
I browsed for things to buy,c4hh,,,2,[607.0],[515.0],0.820428336,0.172981878,0.006589786,0.92038835,0.073786408,0.005825243
I checked out what things cost by looking online,c4hh1,,,2,[603.0],[508.0],0.83747927,0.154228856,0.008291874,0.921259843,0.070866142,0.007874016
I have sold an item online,c4hh2,3.530902268,+,2,[602.0],[506.0],0.936877076,0.056478405,0.006644518,0.948616601,0.037549407,0.013833992
My mother or father (or step/foster mother or father),c6a,,,2,[602.0],[531.0],0.624584718,0.367109635,0.008305648,0.755178908,0.239171375,0.005649718
My brother or sister (or step/foster/half siblings),c6b,47.12850563,+,2,[609.0],[524.0],0.679802956,0.311986864,0.008210181,0.851145038,0.139312977,0.009541985
A friend around my age,c6c,,,2,[614.0],[528.0],0.522801303,0.472312704,0.004885993,0.823863636,0.172348485,0.003787879
A teacher,c6d,,,2,[608.0],[528.0],0.835526316,0.159539474,0.004934211,0.922348485,0.071969697,0.005681818
Another adult I trust,c6e,,,2,[602.0],[524.0],0.759136213,0.234219269,0.006644518,0.86259542,0.129770992,0.007633588
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,,,2,[600.0],[516.0],0.795,0.198333333,0.006666667,0.903100775,0.089147287,0.007751938
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,26.82536272,+,2,[593.0],[508.0],0.848229342,0.148397976,0.003372681,0.92519685,0.059055118,0.015748031
A relative or friend who is an OFW (overseas Filipino worker),c6g1,,,2,[599.0],[512.0],0.772954925,0.21869783,0.008347245,0.8671875,0.125,0.0078125
Someone else,c6h,16.77338884,+,2,[598.0],[509.0],0.844481605,0.14548495,0.010033445,0.923379175,0.068762279,0.007858546
My mother or father (or step/foster mother or father),c7a,,,2,[598.0],[510.0],0.662207358,0.329431438,0.008361204,0.77254902,0.223529412,0.003921569
My brother or sister (or step/foster/half siblings),c7b,,,2,[600.0],[504.0],0.661666667,0.328333333,0.01,0.859126984,0.134920635,0.005952381
A friend around my age,c7c,,,2,[604.0],[506.0],0.501655629,0.493377483,0.004966887,0.83201581,0.164031621,0.003952569
A teacher,c7d,,,2,[593.0],[506.0],0.833052277,0.160202361,0.006745363,0.90513834,0.090909091,0.003952569
Another adult I trust,c7e,28.84902625,+,2,[596.0],[499.0],0.765100671,0.22147651,0.013422819,0.889779559,0.104208417,0.006012024
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,30.86076178,+,2,[591.0],[494.0],0.805414552,0.187817259,0.00676819,0.914979757,0.072874494,0.012145749
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,,,2,[588.0],[494.0],0.836734694,0.156462585,0.006802721,0.941295547,0.050607287,0.008097166
A relative or friend who is an OFW (overseas Filipino worker),c7g1,23.15438858,+,2,[589.0],[494.0],0.796264856,0.19524618,0.008488964,0.898785425,0.091093117,0.010121457
Someone else,c7h,26.07316539,+,2,[589.0],[496.0],0.830220713,0.157894737,0.01188455,0.931451613,0.060483871,0.008064516
My mother or father (or step/foster mother or father),c8a,1.419159421,+,2,[526.0],[349.0],0.741444867,0.243346008,0.015209125,0.776504298,0.209169054,0.014326648
My brother or sister (or step/foster/half siblings),c8b,,,2,[521.0],[345.0],0.687140115,0.305182342,0.007677543,0.794202899,0.197101449,0.008695652
A friend around my age,c8c,,,2,[527.0],[348.0],0.436432638,0.557874763,0.0056926,0.704022989,0.287356322,0.00862069
A teacher,c8d,,,2,[520.0],[348.0],0.825,0.163461538,0.011538462,0.893678161,0.100574713,0.005747126
Another adult I trust,c8e,,,2,[520.0],[346.0],0.755769231,0.238461538,0.005769231,0.855491329,0.13583815,0.00867052
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,,,2,[521.0],[341.0],0.798464491,0.195777351,0.005758157,0.88856305,0.105571848,0.005865103
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,,,2,[520.0],[339.0],0.807692308,0.182692308,0.009615385,0.920353982,0.076696165,0.002949853
A relative or friend who is an OFW (overseas Filipino worker),c8g1,,,2,[518.0],[346.0],0.752895753,0.235521236,0.011583012,0.849710983,0.144508671,0.005780347
Someone else,c8h,,,2,[523.0],[345.0],0.843212237,0.149139579,0.007648184,0.907246377,0.08115942,0.011594203
My mother or father (or step/foster mother or father),c9a,,,2,[333.0],[350.0],0.774774775,0.21021021,0.015015015,0.874285714,0.114285714,0.011428571
My brother or sister (or step/foster/half siblings),c9b,,,2,[333.0],[346.0],0.747747748,0.243243243,0.009009009,0.820809249,0.167630058,0.011560694
A friend around my age,c9c,,,2,[341.0],[351.0],0.589442815,0.401759531,0.008797654,0.712250712,0.279202279,0.008547009
A teacher,c9d,,,2,[334.0],[349.0],0.838323353,0.140718563,0.020958084,0.916905444,0.077363897,0.005730659
Another adult I trust,c9e,,,2,[334.0],[346.0],0.784431138,0.200598802,0.01497006,0.893063584,0.104046243,0.002890173
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,,,2,[339.0],[343.0],0.769911504,0.215339233,0.014749263,0.871720117,0.116618076,0.011661808
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,,,2,[336.0],[339.0],0.8125,0.172619048,0.014880952,0.890855457,0.100294985,0.008849558
A relative or friend who is an OFW (overseas Filipino worker),c9g1,,,2,[330.0],[336.0],0.860606061,0.121212121,0.018181818,0.922619048,0.071428571,0.005952381
Someone else,c9h,,,2,[333.0],[336.0],0.792792793,0.195195195,0.012012012,0.875,0.119047619,0.005952381
Making presentations,c10a,,,2,[594.0],[508.0],0.681818182,0.30976431,0.008417508,0.854330709,0.145669291,0
Writing things,c10b,,,2,[599.0],[512.0],0.667779633,0.323873122,0.008347245,0.802734375,0.197265625,0
Making pictures,c10c,,,2,[601.0],[510.0],0.557404326,0.437603993,0.004991681,0.778431373,0.219607843,0.001960784
Practising something I am learning (e.g. maths or a language or music),c10d,,,2,[603.0],[521.0],0.60199005,0.388059701,0.009950249,0.710172745,0.287907869,0.001919386
Checking out information on the school website,c10e,,,2,[597.0],[513.0],0.686767169,0.308207705,0.005025126,0.888888889,0.109161793,0.001949318
Doing group work with other students,c10f,,,2,[602.0],[515.0],0.599667774,0.392026578,0.008305648,0.821359223,0.178640777,0
Chatting online at school,c10g,,,2,[600.0],[510.0],0.716666667,0.275,0.008333333,0.901960784,0.094117647,0.003921569
Communicating with teachers (e.g. submitting homework or asking a question),c10h,,,2,[599.0],[511.0],0.777963272,0.217028381,0.005008347,0.923679061,0.068493151,0.007827789
Contributing to a school blog or online discussion,c10i,,,2,[585.0],[497.0],0.847863248,0.141880342,0.01025641,0.93360161,0.060362173,0.006036217
I know how to save a photo that I find online,e1a,,,2,[615.0],[536.0],0.104065041,0.891056911,0.004878049,0.447761194,0.542910448,0.009328358
I know how to change my privacy settings (e.g. on a social networking site),e1b,138.1763981,+,2,[535.0],[360.0],0.26728972,0.721495327,0.011214953,0.658333333,0.325,0.016666667
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,117.4451444,+,2,[598.0],[494.0],0.602006689,0.367892977,0.030100334,0.892712551,0.0951417,0.012145749
I know how to jailbreak; crack games and apps; change IP address,e1f1,25.13426447,+,2,[598.0],[495.0],0.705685619,0.264214047,0.030100334,0.83030303,0.161616162,0.008080808
I know how to hide my IP address,e1f2,67.03563718,+,2,[599.0],[502.0],0.662771285,0.307178631,0.030050083,0.874501992,0.115537849,0.009960159
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,98.97468289,+,2,[601.0],[493.0],0.450915141,0.525790349,0.023294509,0.748478702,0.243407708,0.00811359
I know how to hack certain files,e1f4,20.2286244,+,2,[603.0],[497.0],0.772802653,0.1973466,0.029850746,0.875251509,0.114688129,0.010060362
I know how to set the firewall,e1f5,26.70804929,+,2,[596.0],[491.0],0.780201342,0.186241611,0.033557047,0.896130346,0.093686354,0.010183299
I find it easy to find a website I have visited before,e1i,119.790263,+,2,[595.0],[516.0],0.329411765,0.65210084,0.018487395,0.656976744,0.32751938,0.015503876
I find it easy to check if the information I find online is true,e1g,134.787628,+,2,[600.0],[522.0],0.318333333,0.666666667,0.015,0.662835249,0.32183908,0.01532567
I find it easy to choose the best keywords for online searches,e1h,,,2,[597.0],[514.0],0.343383585,0.649916248,0.006700168,0.73151751,0.26459144,0.003891051
Sometimes I end up on websites without knowing how I got there,e1k,97.47527408,+,2,[596.0],[522.0],0.407718121,0.57885906,0.013422819,0.701149425,0.287356322,0.011494253
I know how to use incognito in browsing,e1k1,65.54628674,+,2,[584.0],[502.0],0.695205479,0.270547945,0.034246575,0.896414343,0.093625498,0.009960159
I know which information I should and shouldn't share online,e1l,64.95872204,+,2,[536.0],[359.0],0.145522388,0.847014925,0.007462687,0.376044568,0.610027855,0.013927577
I know how to remove people from my contact lists,e1m,,,2,[538.0],[359.0],0.07063197,0.925650558,0.003717472,0.289693593,0.704735376,0.005571031
I know how to block,e1m1,,,2,[539.0],[358.0],0.12244898,0.871985158,0.005565863,0.511173184,0.483240223,0.005586592
I know when I should and shouldn't share information online,e1n,,,2,[537.0],[355.0],0.094972067,0.901303538,0.003724395,0.363380282,0.628169014,0.008450704
I know how to behave according to the situation online,e1o,,,2,[538.0],[356.0],0.07063197,0.923791822,0.005576208,0.306179775,0.68258427,0.011235955
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,144.9217619,+,2,[529.0],[347.0],0.245746692,0.746691871,0.007561437,0.648414986,0.337175793,0.014409222
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,98.27477936,+,2,[527.0],[344.0],0.390891841,0.59772296,0.011385199,0.729651163,0.255813953,0.014534884
I know how to create something new from video or music that I found online,e1t,52.38889712,+,2,[590.0],[508.0],0.550847458,0.430508475,0.018644068,0.75984252,0.232283465,0.007874016
I know how to post online video or music that I have created myself,e1q,,,2,[204.0],[145.0],0.196078431,0.789215686,0.014705882,0.386206897,0.593103448,0.020689655
I know which different types of licences apply to online content,e1s,90.10034413,+,2,[582.0],[479.0],0.597938144,0.369415808,0.032646048,0.860125261,0.121085595,0.018789144
I know how to edit or make basic changes to online content that others have created,e1r,81.24377222,+,2,[586.0],[482.0],0.542662116,0.435153584,0.0221843,0.804979253,0.184647303,0.010373444
I know how to design a website,e1u,31.66601995,+,2,[591.0],[482.0],0.685279188,0.285956007,0.028764805,0.834024896,0.153526971,0.012448133
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,,,2,[602.0],[513.0],0.127906977,0.865448505,0.006644518,0.417153996,0.578947368,0.003898635
I know how to safeguard my online expenses while using mobile apps,e1w,139.6354295,+,2,[592.0],[487.0],0.298986486,0.679054054,0.021959459,0.659137577,0.332648871,0.008213552
I know how to make an in-app purchase,e1x,50.2116349,+,2,[586.0],[492.0],0.581911263,0.395904437,0.0221843,0.784552846,0.201219512,0.014227642
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,72.16386568,+,2,[583.0],[478.0],0.622641509,0.348198971,0.02915952,0.855648536,0.135983264,0.008368201
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,68.91398332,+,2,[523.0],[344.0],0.514340344,0.435946463,0.049713193,0.781976744,0.168604651,0.049418605
Connect to a Wi-Fi network,e3b,80.20623123,+,2,[540.0],[371.0],0.101851852,0.887037037,0.011111111,0.342318059,0.644204852,0.013477089
Block push notifications from different apps,e3c,81.02940203,+,2,[520.0],[346.0],0.507692308,0.469230769,0.023076923,0.809248555,0.179190751,0.011560694
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,81.52700713,+,2,[515.0],[340.0],0.539805825,0.409708738,0.050485437,0.838235294,0.15,0.011764706
Block pop ups which promote apps; games or services I have to pay for (unrequested windows that appear during web surfing),e3e,38.09877935,+,2,[509.0],[336.0],0.664047151,0.294695481,0.041257367,0.851190476,0.119047619,0.029761905
Protect a smartphone with a PIN/with a screen pattern,e3f,82.3784709,+,2,[535.0],[358.0],0.108411215,0.869158879,0.022429907,0.360335196,0.620111732,0.019553073
Update my status on the social networking site I use the most,e3g,122.2217218,+,2,[527.0],[351.0],0.19544592,0.783681214,0.020872865,0.54985755,0.421652422,0.028490028
Find information on how to use smartphones safely,e3h,95.52769423,+,2,[522.0],[356.0],0.319923372,0.64559387,0.034482759,0.654494382,0.328651685,0.016853933
Compare similar apps to choose the one that is most reliable,e3i,115.3250772,+,2,[521.0],[339.0],0.328214971,0.635316699,0.03646833,0.702064897,0.277286136,0.020648968
Take a picture or a video with my smartphone and post it onto social media,e3j,41.13328205,+,2,[523.0],[353.0],0.326959847,0.653919694,0.019120459,0.543909348,0.439093484,0.016997167
Twitter,d1d,32.41120244,+,1,[601.0],[494.0],0.813643927,0.186356073,0,0.931174089,0.068825911,0
Viber,d1e,1.192809205,+,1,[600.0],[493.0],0.966666667,0.033333333,0,0.977687627,0.022312373,0
Skype,d1f,1.964392019,+,1,[600.0],[493.0],0.921666667,0.078333333,0,0.943204868,0.056795132,0
Facebook,d1a,72.56977253,+,1,[602.0],[494.0],0.026578073,0.973421927,0,0.178137652,0.821862348,0
Instagram,d1c,43.18431635,+,1,[599.0],[494.0],0.754590985,0.245409015,0,0.906882591,0.093117409,0
WhatsApp,d1b,0.633428938,+,1,[598.0],[493.0],0.969899666,0.030100334,0,0.977687627,0.022312373,0
YouTube,d1g,0.08858883,-,1,[601.0],[494.0],0.40765391,0.59234609,0,0.398785425,0.601214575,0
Spotify,d1h,19.99214947,+,1,[598.0],[493.0],0.914715719,0.085284281,0,0.977687627,0.022312373,0
Wikipedia,d1i,46.5754657,+,1,[600.0],[493.0],0.801666667,0.198333333,0,0.943204868,0.056795132,0
Tumblr,d1j,,,1,[598.0],[493.0],0.981605351,0.018394649,0,1,0,0
I find it easier to be myself online than when I am with people face-to-face,d2d,20.46409314,+,2,[531.0],[364.0],0.444444444,0.531073446,0.024482109,0.57967033,0.379120879,0.041208791
I talk about different things online than I do when speaking to people face-to-face,d2e,59.13089906,+,2,[529.0],[360.0],0.404536862,0.578449905,0.017013233,0.636111111,0.319444444,0.044444444
