Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\9to11_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\12to14_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,4.77252338,-,2,[545.0],[630.0],0.886238532,0.108256881,0.005504587,0.850793651,0.133333333,0.015873016
A mobile phone that is not a smartphone,b8a,,,2,[101.0],[146.0],0.534653465,0.445544554,0.01980198,0.410958904,0.554794521,0.034246575
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,,,2,[187.0],[286.0],0.486631016,0.50802139,0.005347594,0.283216783,0.706293706,0.01048951
A desktop computer,b8c,,,2,[174.0],[196.0],0.75862069,0.235632184,0.005747126,0.755102041,0.229591837,0.015306122
A laptop or notebook computer,b8d,,,2,[75.0],[125.0],0.546666667,0.44,0.013333333,0.592,0.408,0
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,,,2,[114.0],[134.0],0.49122807,0.473684211,0.035087719,0.485074627,0.507462687,0.007462687
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,,,2,[61.0],[87.0],0.573770492,0.360655738,0.06557377,0.620689655,0.379310345,0
I use a postpaid plan (i.e.; with contracts),b9a,3.516542398,-,2,[551.0],[626.0],0.827586207,0.139745917,0.032667877,0.841853035,0.142172524,0.015974441
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,9.880575008,-,2,[556.0],[632.0],0.629496403,0.361510791,0.008992806,0.539556962,0.44778481,0.012658228
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.3135266,+,2,[552.0],[634.0],0.447463768,0.538043478,0.014492754,0.46214511,0.522082019,0.015772871
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,47.83826566,-,2,[544.0],[629.0],0.748161765,0.248161765,0.003676471,0.556438792,0.429252782,0.014308426
Do you connect to the internet by yourself?,b10a,10.75554772,-,1,[558.0],[642.0],0.494623656,0.505376344,0,0.400311526,0.599688474,0
My parents,b10b1,11.64920739,+,1,[254.0],[247.0],0.633858268,0.366141732,0,0.773279352,0.226720648,0
My siblings,b10b2,1.67537041,+,1,[254.0],[248.0],0.618110236,0.381889764,0,0.673387097,0.326612903,0
Relatives,b10b3,0.066178394,+,1,[254.0],[247.0],0.854330709,0.145669291,0,0.862348178,0.137651822,0
Friends who are the same age as I am,b10c1,17.40971513,-,1,[254.0],[247.0],0.775590551,0.224409449,0,0.603238866,0.396761134,0
Friends who are older than me,b10c2,0.056825668,+,1,[254.0],[247.0],0.842519685,0.157480315,0,0.850202429,0.149797571,0
My teacher,b10d,2.033027276,+,1,[254.0],[247.0],0.940944882,0.059055118,0,0.967611336,0.032388664,0
Others,b10e,0.687136248,+,1,[254.0],[247.0],0.897637795,0.102362205,0,0.91902834,0.08097166,0
What do you think about this sentence: ‘There are lots of things on the internet that are good for children of my age’?,c2,7.27365155,-,2,[549.0],[634.0],0.225865209,0.759562842,0.014571949,0.164037855,0.818611987,0.017350158
I learned something new by searching online,c4a,,,2,[548.0],[621.0],0.642335766,0.343065693,0.01459854,0.531400966,0.466988728,0.001610306
I used the internet for schoolwork,c4c,,,2,[551.0],[626.0],0.629764065,0.359346642,0.010889292,0.49201278,0.503194888,0.004792332
I looked for information about work or study opportunities,c4b,8.597579261,-,2,[529.0],[610.0],0.848771267,0.137996219,0.013232514,0.786885246,0.203278689,0.009836066
Checked maps,c4c1,2.088594461,-,2,[536.0],[618.0],0.873134328,0.11380597,0.013059701,0.844660194,0.142394822,0.012944984
I looked for information about the place I want to go visit/eat,c4c2,12.25664667,-,2,[537.0],[620.0],0.888268156,0.102420857,0.009310987,0.817741935,0.174193548,0.008064516
I looked for resources or events about my local neighbourhood,c4d,1.925662162,-,2,[523.0],[604.0],0.915869981,0.07456979,0.009560229,0.897350993,0.084437086,0.018211921
I got involved online in a local organisation or charity,c4f,5.124187848,-,2,[520.0],[605.0],0.936538462,0.048076923,0.015384615,0.900826446,0.080991736,0.018181818
I used the internet to help somebody else,c4g,4.046809648,-,2,[531.0],[613.0],0.866290019,0.124293785,0.009416196,0.823817292,0.16639478,0.009787928
I used the internet to talk to people from places or backgrounds different from mine,c4e,10.55019614,-,2,[534.0],[612.0],0.867041199,0.116104869,0.016853933,0.823529412,0.171568627,0.004901961
I looked for the news online,c4h,,,2,[543.0],[621.0],0.854511971,0.138121547,0.007366483,0.776167472,0.21900161,0.004830918
I discussed political or social problems with other people online,c4i,7.381335761,-,2,[517.0],[609.0],0.945841393,0.042553191,0.011605416,0.903119869,0.08045977,0.016420361
I got involved online in a campaign or protest,c4j,2.370961411,-,2,[516.0],[602.0],0.949612403,0.042635659,0.007751938,0.936877076,0.044850498,0.018272425
I signed a petition online,c4k,1.047520433,+,2,[511.0],[595.0],0.943248532,0.043052838,0.01369863,0.956302521,0.031932773,0.011764706
I used the internet to join a civic; religious or political group,c4l,1.247600424,-,2,[518.0],[604.0],0.945945946,0.038610039,0.015444015,0.94205298,0.048013245,0.009933775
I posted videos or music created by someone else,c4o,1.128642455,-,2,[533.0],[618.0],0.896810507,0.091932458,0.011257036,0.883495146,0.108414239,0.008090615
I created my own video or music and uploaded it to share,c4m,,,2,[528.0],[620.0],0.920454545,0.071969697,0.007575758,0.893548387,0.098387097,0.008064516
I created a blog or story or website online,c4n,0.279239226,+,2,[520.0],[610.0],0.946153846,0.042307692,0.011538462,0.945901639,0.039344262,0.014754098
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,0.317122206,+,2,[516.0],[609.0],0.918604651,0.071705426,0.009689922,0.917898194,0.068965517,0.013136289
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,4.574477088,-,2,[513.0],[609.0],0.869395712,0.1208577,0.009746589,0.825944171,0.165845649,0.008210181
I visited a social network site (e.g.; Facebook [add local examples]),c4p,27.62802411,-,2,[528.0],[624.0],0.59280303,0.390151515,0.017045455,0.448717949,0.543269231,0.008012821
I helped someone else who needed or wanted to go online,c4t,9.677628091,-,2,[527.0],[615.0],0.869070209,0.121442125,0.009487666,0.801626016,0.188617886,0.009756098
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,,,2,[520.0],[617.0],0.817307692,0.173076923,0.009615385,0.76012966,0.233387358,0.006482982
I commented on the updates that friends or family have put online,c4u,,,2,[523.0],[614.0],0.803059273,0.185468451,0.011472275,0.672638436,0.32247557,0.004885993
I re-posted or shared a social media post online,c4t1,9.232465252,-,2,[515.0],[618.0],0.823300971,0.159223301,0.017475728,0.754045307,0.231391586,0.014563107
I showed my friends or family something that I saw online,c4v,5.924920576,-,2,[520.0],[617.0],0.807692308,0.180769231,0.011538462,0.756888169,0.236628849,0.006482982
I visited a chatroom to meet new people [insert local examples],c4w,7.143287725,-,2,[515.0],[610.0],0.906796117,0.081553398,0.011650485,0.859016393,0.131147541,0.009836066
I watched video clips (e.g. on YouTube [insert local examples]),c4x,,,2,[537.0],[625.0],0.575418994,0.415270019,0.009310987,0.528,0.4688,0.0032
I played online games alone,c4y,,,2,[547.0],[630.0],0.60511883,0.389396709,0.005484461,0.619047619,0.376190476,0.004761905
I played games with other people online,c4z,0.028012167,-,2,[541.0],[624.0],0.719038817,0.271719039,0.009242144,0.71474359,0.275641026,0.009615385
I listened to music online (by downloading or streaming),c4bb,,,2,[535.0],[626.0],0.710280374,0.280373832,0.009345794,0.643769968,0.3514377,0.004792332
I watched my favourite TV shows,c4cc,,,2,[541.0],[628.0],0.528650647,0.465804067,0.005545287,0.503184713,0.493630573,0.003184713
I joined a fan site (of a celebrity or popular band),c4cc1,11.13270537,-,2,[523.0],[610.0],0.921606119,0.066921606,0.011472275,0.862295082,0.126229508,0.01147541
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,21.05516874,-,2,[517.0],[621.0],0.771760155,0.220502901,0.007736944,0.647342995,0.342995169,0.009661836
I looked for health information for myself or someone I know,c4ee,3.336326964,-,2,[517.0],[615.0],0.868471954,0.123791103,0.007736944,0.829268293,0.16097561,0.009756098
I participated in a site where people share my interests or hobbies,c4ff,10.87298384,-,2,[513.0],[606.0],0.910331384,0.079922027,0.009746589,0.844884488,0.138613861,0.01650165
I browsed for things to buy,c4hh,7.011489616,-,2,[515.0],[609.0],0.92038835,0.073786408,0.005825243,0.871921182,0.116584565,0.011494253
I checked out what things cost by looking online,c4hh1,,,2,[508.0],[602.0],0.921259843,0.070866142,0.007874016,0.895348837,0.098006645,0.006644518
I have sold an item online,c4hh2,0.233244479,-,2,[506.0],[605.0],0.948616601,0.037549407,0.013833992,0.94214876,0.042975207,0.014876033
My mother or father (or step/foster mother or father),c6a,,,2,[531.0],[614.0],0.755178908,0.239171375,0.005649718,0.708469055,0.288273616,0.003257329
My brother or sister (or step/foster/half siblings),c6b,15.11892777,-,2,[524.0],[607.0],0.851145038,0.139312977,0.009541985,0.759472817,0.228995058,0.011532125
A friend around my age,c6c,,,2,[528.0],[614.0],0.823863636,0.172348485,0.003787879,0.656351792,0.338762215,0.004885993
A teacher,c6d,10.35485041,-,2,[528.0],[606.0],0.922348485,0.071969697,0.005681818,0.863036304,0.123762376,0.01320132
Another adult I trust,c6e,,,2,[524.0],[608.0],0.86259542,0.129770992,0.007633588,0.810855263,0.182565789,0.006578947
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,10.53864732,-,2,[516.0],[597.0],0.903100775,0.089147287,0.007751938,0.837520938,0.152428811,0.010050251
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,5.928279017,-,2,[508.0],[602.0],0.92519685,0.059055118,0.015748031,0.890365449,0.098006645,0.011627907
A relative or friend who is an OFW (overseas Filipino worker),c6g1,7.329394466,-,2,[512.0],[600.0],0.8671875,0.125,0.0078125,0.806666667,0.181666667,0.011666667
Someone else,c6h,,,2,[509.0],[605.0],0.923379175,0.068762279,0.007858546,0.882644628,0.110743802,0.00661157
My mother or father (or step/foster mother or father),c7a,,,2,[510.0],[605.0],0.77254902,0.223529412,0.003921569,0.715702479,0.276033058,0.008264463
My brother or sister (or step/foster/half siblings),c7b,,,2,[504.0],[603.0],0.859126984,0.134920635,0.005952381,0.759535655,0.230514096,0.009950249
A friend around my age,c7c,,,2,[506.0],[606.0],0.83201581,0.164031621,0.003952569,0.641914191,0.348184818,0.00990099
A teacher,c7d,,,2,[506.0],[603.0],0.90513834,0.090909091,0.003952569,0.870646766,0.11774461,0.011608624
Another adult I trust,c7e,,,2,[499.0],[604.0],0.889779559,0.104208417,0.006012024,0.819536424,0.17218543,0.008278146
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,10.88883925,-,2,[494.0],[601.0],0.914979757,0.072874494,0.012145749,0.853577371,0.134775374,0.011647255
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,7.175186138,-,2,[494.0],[598.0],0.941295547,0.050607287,0.008097166,0.89632107,0.090301003,0.013377926
A relative or friend who is an OFW (overseas Filipino worker),c7g1,9.775803203,-,2,[494.0],[594.0],0.898785425,0.091093117,0.010121457,0.833333333,0.14983165,0.016835017
Someone else,c7h,5.573117257,-,2,[496.0],[595.0],0.931451613,0.060483871,0.008064516,0.890756303,0.099159664,0.010084034
My mother or father (or step/foster mother or father),c8a,1.74609024,-,2,[349.0],[514.0],0.776504298,0.209169054,0.014326648,0.741245136,0.247081712,0.011673152
My brother or sister (or step/foster/half siblings),c8b,,,2,[345.0],[513.0],0.794202899,0.197101449,0.008695652,0.748538012,0.2417154,0.009746589
A friend around my age,c8c,,,2,[348.0],[517.0],0.704022989,0.287356322,0.00862069,0.539651838,0.454545455,0.005802708
A teacher,c8d,,,2,[348.0],[512.0],0.893678161,0.100574713,0.005747126,0.8515625,0.13671875,0.01171875
Another adult I trust,c8e,3.89430351,-,2,[346.0],[508.0],0.855491329,0.13583815,0.00867052,0.803149606,0.18503937,0.011811024
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,,,2,[341.0],[510.0],0.88856305,0.105571848,0.005865103,0.823529412,0.164705882,0.011764706
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,,,2,[339.0],[506.0],0.920353982,0.076696165,0.002949853,0.841897233,0.148221344,0.009881423
A relative or friend who is an OFW (overseas Filipino worker),c8g1,,,2,[346.0],[508.0],0.849710983,0.144508671,0.005780347,0.816929134,0.171259843,0.011811024
Someone else,c8h,2.660091632,-,2,[345.0],[511.0],0.907246377,0.08115942,0.011594203,0.872798434,0.115459883,0.011741683
My mother or father (or step/foster mother or father),c9a,1.867826816,-,2,[350.0],[388.0],0.874285714,0.114285714,0.011428571,0.840206186,0.141752577,0.018041237
My brother or sister (or step/foster/half siblings),c9b,2.858249703,-,2,[346.0],[386.0],0.820809249,0.167630058,0.011560694,0.777202073,0.199481865,0.023316062
A friend around my age,c9c,,,2,[351.0],[393.0],0.712250712,0.279202279,0.008547009,0.625954198,0.361323155,0.012722646
A teacher,c9d,4.519423484,-,2,[349.0],[385.0],0.916905444,0.077363897,0.005730659,0.877922078,0.101298701,0.020779221
Another adult I trust,c9e,,,2,[346.0],[391.0],0.893063584,0.104046243,0.002890173,0.820971867,0.163682864,0.015345269
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,4.185450396,-,2,[343.0],[387.0],0.871720117,0.116618076,0.011661808,0.816537468,0.167958656,0.015503876
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,,,2,[339.0],[385.0],0.890855457,0.100294985,0.008849558,0.825974026,0.161038961,0.012987013
A relative or friend who is an OFW (overseas Filipino worker),c9g1,,,2,[336.0],[384.0],0.922619048,0.071428571,0.005952381,0.875,0.109375,0.015625
Someone else,c9h,,,2,[336.0],[386.0],0.875,0.119047619,0.005952381,0.810880829,0.170984456,0.018134715
Making presentations,c10a,,,2,[508.0],[611.0],0.854330709,0.145669291,0,0.725040917,0.263502455,0.011456628
Writing things,c10b,,,2,[512.0],[611.0],0.802734375,0.197265625,0,0.733224223,0.258592471,0.008183306
Making pictures,c10c,,,2,[510.0],[608.0],0.778431373,0.219607843,0.001960784,0.664473684,0.330592105,0.004934211
Practising something I am learning (e.g. maths or a language or music),c10d,,,2,[521.0],[614.0],0.710172745,0.287907869,0.001919386,0.625407166,0.366449511,0.008143322
Checking out information on the school website,c10e,,,2,[513.0],[605.0],0.888888889,0.109161793,0.001949318,0.776859504,0.21322314,0.009917355
Doing group work with other students,c10f,,,2,[515.0],[615.0],0.821359223,0.178640777,0,0.648780488,0.343089431,0.008130081
Chatting online at school,c10g,,,2,[510.0],[612.0],0.901960784,0.094117647,0.003921569,0.72875817,0.263071895,0.008169935
Communicating with teachers (e.g. submitting homework or asking a question),c10h,,,2,[511.0],[613.0],0.923679061,0.068493151,0.007827789,0.815660685,0.176182708,0.008156607
Contributing to a school blog or online discussion,c10i,9.807713321,-,2,[497.0],[596.0],0.93360161,0.060362173,0.006036217,0.877516779,0.109060403,0.013422819
I know how to save a photo that I find online,e1a,85.15383407,-,2,[536.0],[623.0],0.447761194,0.542910448,0.009328358,0.195826645,0.789727127,0.014446228
I know how to change my privacy settings (e.g. on a social networking site),e1b,37.87484583,-,2,[360.0],[520.0],0.658333333,0.325,0.016666667,0.455769231,0.534615385,0.009615385
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,48.12885145,-,2,[494.0],[592.0],0.892712551,0.0951417,0.012145749,0.728040541,0.258445946,0.013513514
I know how to jailbreak; crack games and apps; change IP address,e1f1,10.5965781,-,2,[495.0],[587.0],0.83030303,0.161616162,0.008080808,0.749574106,0.235093697,0.015332198
I know how to hide my IP address,e1f2,21.52685505,-,2,[502.0],[598.0],0.874501992,0.115537849,0.009960159,0.765886288,0.219063545,0.015050167
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,,,2,[493.0],[595.0],0.748478702,0.243407708,0.00811359,0.554621849,0.440336134,0.005042017
I know how to hack certain files,e1f4,8.196899037,-,2,[497.0],[595.0],0.875251509,0.114688129,0.010060362,0.813445378,0.176470588,0.010084034
I know how to set the firewall,e1f5,11.69079875,-,2,[491.0],[589.0],0.896130346,0.093686354,0.010183299,0.823429542,0.162988115,0.013582343
I find it easy to find a website I have visited before,e1i,54.97467115,-,2,[516.0],[606.0],0.656976744,0.32751938,0.015503876,0.438943894,0.547854785,0.01320132
I find it easy to check if the information I find online is true,e1g,53.83927529,-,2,[522.0],[607.0],0.662835249,0.32183908,0.01532567,0.448105437,0.538714992,0.013179572
I find it easy to choose the best keywords for online searches,e1h,,,2,[514.0],[606.0],0.73151751,0.26459144,0.003891051,0.498349835,0.49339934,0.008250825
Sometimes I end up on websites without knowing how I got there,e1k,53.38207894,-,2,[522.0],[606.0],0.701149425,0.287356322,0.011494253,0.48679868,0.498349835,0.014851485
I know how to use incognito in browsing,e1k1,37.34987567,-,2,[502.0],[593.0],0.896414343,0.093625498,0.009960159,0.753794266,0.224283305,0.021922428
I know which information I should and shouldn't share online,e1l,31.19922209,-,2,[359.0],[517.0],0.376044568,0.610027855,0.013927577,0.20696325,0.783365571,0.00967118
I know how to remove people from my contact lists,e1m,,,2,[359.0],[527.0],0.289693593,0.704735376,0.005571031,0.127134725,0.863377609,0.009487666
I know how to block,e1m1,,,2,[358.0],[525.0],0.511173184,0.483240223,0.005586592,0.236190476,0.758095238,0.005714286
I know when I should and shouldn't share information online,e1n,,,2,[355.0],[519.0],0.363380282,0.628169014,0.008450704,0.198458574,0.793834297,0.007707129
I know how to behave according to the situation online,e1o,25.99658838,-,2,[356.0],[520.0],0.306179775,0.68258427,0.011235955,0.161538462,0.828846154,0.009615385
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,47.61198107,-,2,[347.0],[517.0],0.648414986,0.337175793,0.014409222,0.413926499,0.576402321,0.00967118
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,32.69353549,-,2,[344.0],[510.0],0.729651163,0.255813953,0.014534884,0.537254902,0.447058824,0.015686275
I know how to create something new from video or music that I found online,e1t,17.6832446,-,2,[508.0],[601.0],0.75984252,0.232283465,0.007874016,0.643926789,0.34109817,0.014975042
I know how to post online video or music that I have created myself,e1q,,,2,[145.0],[215.0],0.386206897,0.593103448,0.020689655,0.269767442,0.71627907,0.013953488
I know which different types of licences apply to online content,e1s,40.88092489,-,2,[479.0],[580.0],0.860125261,0.121085595,0.018789144,0.706896552,0.281034483,0.012068966
I know how to edit or make basic changes to online content that others have created,e1r,39.14545605,-,2,[482.0],[588.0],0.804979253,0.184647303,0.010373444,0.634353741,0.357142857,0.008503401
I know how to design a website,e1u,11.79183423,-,2,[482.0],[579.0],0.834024896,0.153526971,0.012448133,0.747841105,0.236614853,0.015544041
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,,,2,[513.0],[602.0],0.417153996,0.578947368,0.003898635,0.194352159,0.800664452,0.004983389
I know how to safeguard my online expenses while using mobile apps,e1w,47.47955569,-,2,[487.0],[580.0],0.659137577,0.332648871,0.008213552,0.448275862,0.539655172,0.012068966
I know how to make an in-app purchase,e1x,25.12471285,-,2,[492.0],[579.0],0.784552846,0.201219512,0.014227642,0.649395509,0.33851468,0.01208981
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,25.95600536,-,2,[478.0],[574.0],0.855648536,0.135983264,0.008368201,0.726480836,0.261324042,0.012195122
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,34.59765207,-,2,[344.0],[471.0],0.781976744,0.168604651,0.049418605,0.619957537,0.352441614,0.027600849
Connect to a Wi-Fi network,e3b,31.25611831,-,2,[371.0],[487.0],0.342318059,0.644204852,0.013477089,0.176591376,0.811088296,0.012320329
Block push notifications from different apps,e3c,37.315956,-,2,[346.0],[470.0],0.809248555,0.179190751,0.011560694,0.610638298,0.372340426,0.017021277
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,28.24639893,-,2,[340.0],[461.0],0.838235294,0.15,0.011764706,0.672451193,0.30802603,0.019522777
Block pop ups which promote apps; games or services I have to pay for (unrequested windows that appear during web surfing),e3e,15.25182374,-,2,[336.0],[455.0],0.851190476,0.119047619,0.029761905,0.758241758,0.224175824,0.017582418
Protect a smartphone with a PIN/with a screen pattern,e3f,43.88460082,-,2,[358.0],[483.0],0.360335196,0.620111732,0.019553073,0.163561077,0.82194617,0.014492754
Update my status on the social networking site I use the most,e3g,36.0457402,-,2,[351.0],[478.0],0.54985755,0.421652422,0.028490028,0.351464435,0.631799163,0.016736402
Find information on how to use smartphones safely,e3h,45.61603707,-,2,[356.0],[471.0],0.654494382,0.328651685,0.016853933,0.426751592,0.564755839,0.008492569
Compare similar apps to choose the one that is most reliable,e3i,41.99188042,-,2,[339.0],[472.0],0.702064897,0.277286136,0.020648968,0.476694915,0.502118644,0.021186441
Take a picture or a video with my smartphone and post it onto social media,e3j,18.1305307,-,2,[353.0],[469.0],0.543909348,0.439093484,0.016997167,0.39445629,0.584221748,0.021321962
Twitter,d1d,8.675123691,-,1,[494.0],[607.0],0.931174089,0.068825911,0,0.878088962,0.121911038,0
Viber,d1e,2.232612099,-,1,[493.0],[605.0],0.977687627,0.022312373,0,0.961983471,0.038016529,0
Skype,d1f,1.125312266,-,1,[493.0],[605.0],0.943204868,0.056795132,0,0.927272727,0.072727273,0
Facebook,d1a,27.95216148,-,1,[494.0],[609.0],0.178137652,0.821862348,0,0.073891626,0.926108374,0
Instagram,d1c,11.80797355,-,1,[494.0],[605.0],0.906882591,0.093117409,0,0.836363636,0.163636364,0
WhatsApp,d1b,0.236040491,+,1,[493.0],[605.0],0.977687627,0.022312373,0,0.981818182,0.018181818,0
YouTube,d1g,0.831376642,+,1,[494.0],[608.0],0.398785425,0.601214575,0,0.425986842,0.574013158,0
Spotify,d1h,7.936037158,-,1,[493.0],[605.0],0.977687627,0.022312373,0,0.943801653,0.056198347,0
Wikipedia,d1i,8.49246108,-,1,[493.0],[605.0],0.943204868,0.056795132,0,0.894214876,0.105785124,0
Tumblr,d1j,,,1,[493.0],[605.0],1,0,0,0.99338843,0.00661157,0
I find it easier to be myself online than when I am with people face-to-face,d2d,13.98647406,-,2,[364.0],[520.0],0.57967033,0.379120879,0.041208791,0.475,0.501923077,0.023076923
I talk about different things online than I do when speaking to people face-to-face,d2e,31.46702618,-,2,[360.0],[514.0],0.636111111,0.319444444,0.044444444,0.463035019,0.509727626,0.027237354
